@relation abalone
@attribute Sex integer [1, 3]
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Rings integer [1, 29]
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Rings
@data
3, 0.36, 0.285, 0.105, 0.2415, 0.0915, 0.057, 0.075, 7
2, 0.61, 0.495, 0.16, 1.089, 0.469, 0.198, 0.384, 11
3, 0.42, 0.315, 0.115, 0.355, 0.1895, 0.065, 0.087, 6
2, 0.63, 0.495, 0.165, 1.3075, 0.599, 0.284, 0.315, 11
3, 0.405, 0.29, 0.09, 0.2825, 0.112, 0.075, 0.0815, 7
2, 0.46, 0.38, 0.13, 0.639, 0.3, 0.1525, 0.16, 11
3, 0.315, 0.235, 0.07, 0.149, 0.058, 0.0325, 0.047, 7
1, 0.595, 0.475, 0.165, 1.213, 0.621, 0.2435, 0.274, 9
2, 0.54, 0.42, 0.145, 0.8655, 0.4315, 0.163, 0.2175, 10
3, 0.35, 0.26, 0.09, 0.1765, 0.072, 0.0355, 0.0575, 7
3, 0.295, 0.225, 0.09, 0.1105, 0.0405, 0.0245, 0.032, 7
3, 0.385, 0.29, 0.09, 0.232, 0.0855, 0.0495, 0.08, 7
3, 0.635, 0.48, 0.2, 1.3655, 0.6255, 0.2595, 0.425, 16
1, 0.475, 0.37, 0.11, 0.4895, 0.2185, 0.107, 0.146, 8
2, 0.515, 0.39, 0.13, 0.5755, 0.1975, 0.13, 0.1845, 9
2, 0.655, 0.52, 0.19, 1.4545, 0.6, 0.3865, 0.383, 10
3, 0.39, 0.31, 0.105, 0.2665, 0.1185, 0.0525, 0.081, 8
1, 0.46, 0.35, 0.12, 0.515, 0.224, 0.108, 0.1565, 10
1, 0.55, 0.435, 0.11, 0.806, 0.3415, 0.203, 0.215, 9
1, 0.625, 0.52, 0.175, 1.4105, 0.691, 0.322, 0.3465, 10
2, 0.525, 0.415, 0.15, 0.7055, 0.329, 0.147, 0.199, 10
1, 0.55, 0.435, 0.145, 0.843, 0.328, 0.1915, 0.255, 15
1, 0.56, 0.45, 0.185, 1.07, 0.3805, 0.175, 0.41, 19
3, 0.415, 0.31, 0.09, 0.2815, 0.1245, 0.0615, 0.085, 6
1, 0.625, 0.495, 0.155, 1.025, 0.46, 0.1945, 0.34, 9
2, 0.66, 0.525, 0.19, 1.67, 0.6525, 0.4875, 0.49, 11
3, 0.485, 0.375, 0.13, 0.5535, 0.266, 0.112, 0.157, 8
2, 0.635, 0.51, 0.175, 1.2125, 0.5735, 0.261, 0.36, 14
3, 0.455, 0.35, 0.13, 0.4725, 0.215, 0.0745, 0.15, 9
1, 0.645, 0.485, 0.15, 1.2215, 0.5695, 0.2735, 0.33, 9
1, 0.635, 0.515, 0.17, 1.275, 0.509, 0.286, 0.34, 16
2, 0.345, 0.25, 0.09, 0.203, 0.078, 0.059, 0.055, 6
3, 0.55, 0.445, 0.11, 0.7935, 0.378, 0.142, 0.26, 10
3, 0.25, 0.18, 0.06, 0.073, 0.028, 0.017, 0.0225, 5
1, 0.76, 0.605, 0.215, 2.173, 0.801, 0.4915, 0.646, 13
1, 0.53, 0.435, 0.155, 0.699, 0.288, 0.1595, 0.205, 10
1, 0.66, 0.53, 0.175, 1.583, 0.7395, 0.3505, 0.405, 10
1, 0.6, 0.475, 0.15, 1.089, 0.5195, 0.223, 0.292, 11
1, 0.66, 0.505, 0.2, 1.6305, 0.4865, 0.297, 0.61, 18
2, 0.49, 0.38, 0.13, 0.539, 0.229, 0.1355, 0.165, 12
1, 0.72, 0.575, 0.23, 2.2695, 0.8835, 0.3985, 0.665, 16
2, 0.6, 0.47, 0.2, 1.031, 0.392, 0.2035, 0.29, 15
1, 0.63, 0.49, 0.18, 1.13, 0.458, 0.2765, 0.315, 12
3, 0.36, 0.265, 0.085, 0.1895, 0.0725, 0.0515, 0.055, 6
1, 0.625, 0.5, 0.17, 1.0985, 0.4645, 0.22, 0.354, 9
1, 0.6, 0.47, 0.15, 0.928, 0.4225, 0.183, 0.275, 8
3, 0.515, 0.375, 0.14, 0.6505, 0.2495, 0.141, 0.2215, 10
1, 0.65, 0.5, 0.155, 1.202, 0.565, 0.3135, 0.294, 11
3, 0.56, 0.435, 0.135, 0.72, 0.329, 0.103, 0.251, 11
1, 0.39, 0.285, 0.095, 0.271, 0.11, 0.06, 0.08, 8
2, 0.475, 0.35, 0.115, 0.487, 0.194, 0.1455, 0.125, 13
1, 0.18, 0.125, 0.05, 0.023, 0.0085, 0.0055, 0.01, 3
1, 0.505, 0.4, 0.15, 0.775, 0.3445, 0.157, 0.185, 7
1, 0.555, 0.445, 0.13, 0.8625, 0.4225, 0.155, 0.24, 9
1, 0.4, 0.3, 0.125, 0.417, 0.191, 0.09, 0.1175, 9
2, 0.51, 0.38, 0.13, 0.584, 0.224, 0.1355, 0.185, 13
1, 0.475, 0.36, 0.12, 0.578, 0.2825, 0.12, 0.17, 8
2, 0.49, 0.375, 0.135, 0.6125, 0.2555, 0.102, 0.22, 11
1, 0.57, 0.48, 0.175, 1.185, 0.474, 0.261, 0.38, 11
1, 0.565, 0.415, 0.125, 0.667, 0.302, 0.1545, 0.185, 7
2, 0.665, 0.57, 0.185, 1.522, 0.6965, 0.3025, 0.405, 13
2, 0.47, 0.35, 0.145, 0.5175, 0.187, 0.1235, 0.18, 11
2, 0.455, 0.375, 0.125, 0.458, 0.1985, 0.111, 0.12, 10
2, 0.505, 0.39, 0.13, 0.674, 0.3165, 0.141, 0.1785, 9
1, 0.625, 0.49, 0.12, 0.8765, 0.456, 0.18, 0.233, 10
3, 0.53, 0.43, 0.135, 0.6255, 0.245, 0.1455, 0.2135, 10
3, 0.43, 0.34, 0.125, 0.384, 0.1375, 0.061, 0.146, 14
1, 0.58, 0.45, 0.155, 0.8275, 0.321, 0.1975, 0.2445, 8
1, 0.56, 0.465, 0.145, 0.8875, 0.3345, 0.22, 0.2695, 9
2, 0.62, 0.51, 0.175, 1.1255, 0.4985, 0.227, 0.315, 14
2, 0.6, 0.475, 0.18, 1.162, 0.511, 0.2675, 0.32, 18
1, 0.46, 0.35, 0.125, 0.5165, 0.1885, 0.1145, 0.185, 9
1, 0.565, 0.435, 0.185, 1.032, 0.354, 0.2045, 0.31, 20
3, 0.45, 0.355, 0.105, 0.4445, 0.197, 0.093, 0.1335, 8
1, 0.545, 0.42, 0.13, 0.879, 0.374, 0.1695, 0.23, 13
2, 0.615, 0.475, 0.165, 1.023, 0.4905, 0.1955, 0.3035, 12
2, 0.64, 0.525, 0.175, 1.382, 0.646, 0.3115, 0.37, 9
3, 0.41, 0.315, 0.1, 0.3, 0.124, 0.0575, 0.1, 8
2, 0.62, 0.54, 0.165, 1.139, 0.4995, 0.2435, 0.357, 11
2, 0.66, 0.53, 0.17, 1.431, 0.622, 0.309, 0.398, 10
1, 0.61, 0.45, 0.15, 0.871, 0.407, 0.1835, 0.25, 10
3, 0.525, 0.4, 0.125, 0.6965, 0.369, 0.1385, 0.164, 9
2, 0.43, 0.335, 0.12, 0.444, 0.155, 0.1145, 0.14, 13
2, 0.57, 0.445, 0.155, 1.017, 0.5265, 0.2025, 0.265, 10
