@relation abalone
@attribute Sex integer [1, 3]
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Rings integer [1, 29]
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Rings
@data
1, 0.505, 0.365, 0.115, 0.521, 0.25, 0.096, 0.15, 8
1, 0.645, 0.525, 0.16, 1.5075, 0.7455, 0.245, 0.4325, 11
1, 0.59, 0.49, 0.165, 1.207, 0.559, 0.235, 0.309, 10
2, 0.555, 0.44, 0.155, 1.016, 0.4935, 0.1855, 0.263, 10
2, 0.605, 0.45, 0.165, 1.2225, 0.357, 0.202, 0.385, 13
1, 0.565, 0.47, 0.195, 1.142, 0.387, 0.258, 0.35, 17
3, 0.545, 0.43, 0.14, 0.687, 0.2615, 0.1405, 0.25, 9
1, 0.54, 0.405, 0.155, 0.9715, 0.3225, 0.194, 0.29, 19
3, 0.325, 0.25, 0.08, 0.1735, 0.0765, 0.0345, 0.049, 7
2, 0.655, 0.51, 0.155, 1.2895, 0.5345, 0.2855, 0.41, 11
3, 0.32, 0.235, 0.065, 0.1385, 0.058, 0.0225, 0.05, 5
2, 0.55, 0.465, 0.18, 1.2125, 0.3245, 0.205, 0.525, 27
2, 0.56, 0.455, 0.125, 0.943, 0.344, 0.129, 0.375, 21
1, 0.61, 0.485, 0.17, 1.281, 0.597, 0.3035, 0.33, 9
1, 0.455, 0.345, 0.125, 0.44, 0.169, 0.1065, 0.135, 12
1, 0.7, 0.525, 0.175, 1.7585, 0.8745, 0.3615, 0.47, 10
3, 0.51, 0.385, 0.145, 0.7665, 0.3985, 0.14, 0.1805, 8
1, 0.6, 0.48, 0.09, 1.05, 0.457, 0.2685, 0.28, 8
2, 0.56, 0.435, 0.15, 0.8715, 0.4755, 0.1835, 0.1835, 9
1, 0.72, 0.585, 0.22, 1.914, 0.9155, 0.448, 0.479, 11
1, 0.615, 0.505, 0.19, 1.403, 0.6715, 0.2925, 0.365, 8
2, 0.58, 0.45, 0.15, 0.92, 0.393, 0.212, 0.2895, 9
1, 0.74, 0.605, 0.2, 2.4925, 1.1455, 0.575, 0.5235, 13
3, 0.42, 0.315, 0.11, 0.4025, 0.1855, 0.083, 0.1015, 8
1, 0.385, 0.3, 0.115, 0.3435, 0.1645, 0.085, 0.1025, 6
3, 0.345, 0.265, 0.1, 0.2455, 0.111, 0.0535, 0.065, 7
2, 0.5, 0.395, 0.15, 0.7145, 0.3235, 0.173, 0.195, 9
3, 0.55, 0.42, 0.155, 0.912, 0.495, 0.1805, 0.205, 9
2, 0.575, 0.45, 0.16, 0.9775, 0.3135, 0.231, 0.33, 12
3, 0.55, 0.415, 0.15, 0.7915, 0.3535, 0.176, 0.236, 10
1, 0.585, 0.47, 0.145, 0.9565, 0.4025, 0.2365, 0.265, 9
3, 0.55, 0.445, 0.145, 0.783, 0.3045, 0.157, 0.265, 11
2, 0.6, 0.47, 0.19, 1.1345, 0.492, 0.2595, 0.3375, 10
1, 0.445, 0.345, 0.14, 0.476, 0.2055, 0.1015, 0.1085, 15
3, 0.445, 0.345, 0.13, 0.4075, 0.1365, 0.0645, 0.18, 11
1, 0.59, 0.44, 0.135, 0.966, 0.439, 0.2145, 0.2605, 10
1, 0.605, 0.49, 0.145, 1.3, 0.517, 0.3285, 0.31, 14
3, 0.43, 0.315, 0.115, 0.384, 0.1885, 0.0715, 0.11, 8
2, 0.645, 0.5, 0.18, 1.2785, 0.5345, 0.2995, 0.345, 13
1, 0.595, 0.47, 0.15, 0.8915, 0.359, 0.2105, 0.245, 12
1, 0.555, 0.44, 0.145, 0.85, 0.4165, 0.1685, 0.23, 8
2, 0.48, 0.39, 0.125, 0.6905, 0.219, 0.155, 0.2, 12
2, 0.505, 0.4, 0.125, 0.583, 0.246, 0.13, 0.175, 7
2, 0.62, 0.475, 0.16, 1.1295, 0.463, 0.2685, 0.33, 10
2, 0.605, 0.48, 0.15, 1.079, 0.4505, 0.2835, 0.293, 10
2, 0.67, 0.52, 0.15, 1.406, 0.519, 0.348, 0.37, 13
1, 0.61, 0.48, 0.165, 1.244, 0.6345, 0.257, 0.305, 12
2, 0.635, 0.5, 0.18, 1.2565, 0.539, 0.292, 0.35, 10
2, 0.675, 0.52, 0.175, 1.494, 0.7365, 0.3055, 0.37, 9
1, 0.72, 0.545, 0.195, 1.7475, 0.8215, 0.383, 0.4705, 11
1, 0.475, 0.37, 0.125, 0.5095, 0.2165, 0.1125, 0.165, 9
2, 0.55, 0.43, 0.125, 0.923, 0.4035, 0.175, 0.283, 8
1, 0.65, 0.51, 0.19, 1.542, 0.7155, 0.3735, 0.375, 9
3, 0.385, 0.28, 0.095, 0.257, 0.119, 0.059, 0.07, 7
2, 0.66, 0.535, 0.175, 1.5175, 0.711, 0.3125, 0.415, 12
2, 0.405, 0.325, 0.11, 0.3575, 0.145, 0.0725, 0.11, 12
1, 0.62, 0.51, 0.175, 1.1505, 0.4375, 0.2265, 0.4, 12
3, 0.485, 0.365, 0.105, 0.5205, 0.195, 0.123, 0.182, 8
2, 0.535, 0.425, 0.135, 0.771, 0.3765, 0.1815, 0.1795, 8
1, 0.36, 0.295, 0.13, 0.2765, 0.0895, 0.057, 0.1005, 10
1, 0.46, 0.345, 0.11, 0.4595, 0.235, 0.0885, 0.116, 7
3, 0.52, 0.38, 0.13, 0.5345, 0.2375, 0.122, 0.1535, 8
1, 0.66, 0.53, 0.17, 1.3905, 0.5905, 0.212, 0.453, 15
2, 0.405, 0.305, 0.095, 0.3485, 0.1455, 0.0895, 0.1, 9
2, 0.6, 0.46, 0.145, 0.9325, 0.3985, 0.2245, 0.248, 8
1, 0.47, 0.37, 0.13, 0.5225, 0.201, 0.133, 0.165, 7
2, 0.6, 0.485, 0.165, 1.1405, 0.587, 0.2175, 0.288, 9
1, 0.63, 0.465, 0.15, 1.027, 0.537, 0.188, 0.176, 8
2, 0.58, 0.46, 0.185, 1.017, 0.3515, 0.2, 0.32, 10
1, 0.43, 0.335, 0.12, 0.397, 0.1985, 0.0865, 0.1035, 7
2, 0.475, 0.36, 0.12, 0.5915, 0.3245, 0.11, 0.127, 6
3, 0.365, 0.27, 0.09, 0.2155, 0.1005, 0.049, 0.0655, 6
3, 0.295, 0.215, 0.075, 0.116, 0.037, 0.0295, 0.04, 8
3, 0.5, 0.38, 0.11, 0.494, 0.218, 0.09, 0.1325, 7
1, 0.73, 0.585, 0.225, 2.2305, 1.2395, 0.422, 0.563, 14
1, 0.685, 0.52, 0.15, 1.343, 0.4635, 0.292, 0.4, 13
2, 0.605, 0.495, 0.17, 1.2385, 0.528, 0.2465, 0.39, 14
3, 0.57, 0.43, 0.145, 0.833, 0.354, 0.144, 0.2815, 10
3, 0.415, 0.33, 0.09, 0.3595, 0.17, 0.081, 0.09, 6
1, 0.51, 0.405, 0.13, 0.7175, 0.3725, 0.158, 0.17, 9
2, 0.595, 0.475, 0.165, 1.148, 0.444, 0.214, 0.37, 10
1, 0.61, 0.47, 0.17, 1.1185, 0.5225, 0.2405, 0.31, 9
1, 0.335, 0.26, 0.075, 0.22, 0.0855, 0.04, 0.085, 6
1, 0.525, 0.385, 0.1, 0.5115, 0.246, 0.1005, 0.1455, 8
2, 0.615, 0.515, 0.135, 1.1215, 0.545, 0.2305, 0.29, 9
1, 0.675, 0.525, 0.185, 1.587, 0.6935, 0.336, 0.395, 13
2, 0.695, 0.55, 0.155, 1.8495, 0.767, 0.442, 0.4175, 10
1, 0.63, 0.485, 0.175, 1.3, 0.4335, 0.2945, 0.46, 23
3, 0.49, 0.385, 0.14, 0.5425, 0.198, 0.127, 0.175, 11
1, 0.59, 0.485, 0.12, 0.911, 0.39, 0.182, 0.29, 16
1, 0.21, 0.15, 0.05, 0.0385, 0.0155, 0.0085, 0.01, 3
1, 0.55, 0.43, 0.15, 0.8745, 0.413, 0.1905, 0.248, 9
1, 0.505, 0.39, 0.105, 0.6555, 0.2595, 0.18, 0.19, 11
1, 0.38, 0.27, 0.095, 0.219, 0.0835, 0.0515, 0.07, 6
3, 0.58, 0.47, 0.15, 0.907, 0.444, 0.1855, 0.2445, 11
3, 0.46, 0.345, 0.12, 0.4155, 0.198, 0.0885, 0.107, 7
1, 0.645, 0.51, 0.16, 1.33, 0.6665, 0.309, 0.317, 9
2, 0.645, 0.515, 0.175, 1.546, 0.7035, 0.365, 0.415, 10
2, 0.705, 0.545, 0.17, 1.58, 0.6435, 0.4565, 0.265, 11
2, 0.71, 0.565, 0.195, 1.7265, 0.638, 0.3365, 0.565, 17
1, 0.64, 0.52, 0.2, 1.407, 0.566, 0.304, 0.455, 17
3, 0.28, 0.21, 0.065, 0.111, 0.0425, 0.0285, 0.03, 6
1, 0.27, 0.195, 0.08, 0.1, 0.0385, 0.0195, 0.03, 6
2, 0.61, 0.485, 0.165, 1.0915, 0.3935, 0.2435, 0.33, 18
1, 0.45, 0.35, 0.1, 0.3675, 0.1465, 0.1015, 0.12, 10
1, 0.57, 0.48, 0.18, 0.9395, 0.399, 0.2, 0.295, 14
1, 0.495, 0.4, 0.12, 0.6605, 0.2605, 0.161, 0.19, 15
1, 0.61, 0.48, 0.14, 1.0625, 0.516, 0.225, 0.2915, 11
1, 0.57, 0.43, 0.12, 1.0615, 0.348, 0.167, 0.31, 15
3, 0.605, 0.48, 0.155, 0.9995, 0.425, 0.1985, 0.3, 10
3, 0.44, 0.305, 0.115, 0.379, 0.162, 0.091, 0.11, 9
3, 0.36, 0.25, 0.115, 0.465, 0.21, 0.1055, 0.128, 7
1, 0.275, 0.2, 0.08, 0.099, 0.037, 0.024, 0.03, 5
2, 0.465, 0.35, 0.125, 0.482, 0.23, 0.106, 0.1095, 6
2, 0.655, 0.54, 0.215, 1.5555, 0.695, 0.296, 0.444, 11
1, 0.49, 0.38, 0.14, 0.7605, 0.245, 0.167, 0.185, 10
3, 0.17, 0.105, 0.035, 0.034, 0.012, 0.0085, 0.005, 4
1, 0.53, 0.405, 0.125, 0.6515, 0.2715, 0.1605, 0.186, 7
2, 0.705, 0.555, 0.2, 1.4685, 0.4715, 0.3235, 0.52, 19
2, 0.57, 0.465, 0.18, 1.295, 0.339, 0.2225, 0.44, 12
2, 0.525, 0.43, 0.125, 0.813, 0.3315, 0.166, 0.1775, 12
2, 0.335, 0.22, 0.07, 0.17, 0.076, 0.0365, 0.05, 6
1, 0.53, 0.415, 0.14, 0.724, 0.3105, 0.1675, 0.205, 10
2, 0.6, 0.48, 0.17, 1.056, 0.4575, 0.2435, 0.3135, 10
