@relation abalone
@attribute Sex integer [1, 3]
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Rings integer [1, 29]
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Rings
@data
3, 0.4, 0.305, 0.1, 0.3415, 0.176, 0.0625, 0.0865, 7
2, 0.635, 0.5, 0.15, 1.376, 0.6495, 0.361, 0.31, 10
3, 0.37, 0.27, 0.09, 0.1855, 0.07, 0.0425, 0.065, 7
1, 0.68, 0.54, 0.155, 1.534, 0.671, 0.379, 0.384, 10
3, 0.375, 0.285, 0.09, 0.2545, 0.119, 0.0595, 0.0675, 6
2, 0.58, 0.475, 0.155, 0.974, 0.4305, 0.23, 0.285, 10
2, 0.525, 0.38, 0.14, 0.6065, 0.194, 0.1475, 0.21, 14
2, 0.63, 0.495, 0.19, 1.1655, 0.536, 0.2115, 0.1625, 10
1, 0.565, 0.44, 0.125, 0.802, 0.3595, 0.1825, 0.215, 9
1, 0.605, 0.465, 0.165, 1.056, 0.4215, 0.2475, 0.34, 13
3, 0.215, 0.15, 0.03, 0.0385, 0.0115, 0.005, 0.01, 5
2, 0.58, 0.45, 0.235, 1.071, 0.3, 0.206, 0.395, 14
1, 0.5, 0.4, 0.125, 0.5975, 0.27, 0.1275, 0.166, 9
3, 0.61, 0.49, 0.16, 1.1545, 0.5865, 0.2385, 0.2915, 11
2, 0.565, 0.45, 0.175, 1.2365, 0.5305, 0.2455, 0.308, 10
3, 0.475, 0.36, 0.11, 0.492, 0.211, 0.11, 0.15, 8
2, 0.45, 0.35, 0.125, 0.4435, 0.185, 0.09, 0.145, 11
2, 0.38, 0.29, 0.105, 0.257, 0.099, 0.051, 0.085, 10
3, 0.5, 0.37, 0.115, 0.5745, 0.306, 0.112, 0.141, 7
1, 0.59, 0.485, 0.155, 1.0785, 0.4535, 0.2435, 0.31, 9
2, 0.645, 0.5, 0.16, 1.2465, 0.5475, 0.327, 0.3, 10
2, 0.415, 0.305, 0.13, 0.32, 0.1305, 0.0755, 0.105, 8
2, 0.52, 0.46, 0.15, 1.019, 0.523, 0.1985, 0.254, 7
3, 0.375, 0.29, 0.095, 0.213, 0.096, 0.041, 0.061, 5
2, 0.64, 0.5, 0.17, 1.12, 0.4955, 0.2645, 0.32, 12
3, 0.23, 0.18, 0.05, 0.064, 0.0215, 0.0135, 0.02, 5
3, 0.335, 0.25, 0.08, 0.183, 0.0735, 0.04, 0.0575, 6
1, 0.515, 0.42, 0.14, 0.769, 0.2505, 0.154, 0.29, 13
1, 0.67, 0.5, 0.19, 1.519, 0.616, 0.388, 0.415, 10
1, 0.48, 0.365, 0.13, 0.5305, 0.2405, 0.127, 0.139, 8
2, 0.68, 0.58, 0.2, 1.787, 0.585, 0.453, 0.6, 19
2, 0.53, 0.415, 0.115, 0.5915, 0.233, 0.1585, 0.18, 11
2, 0.435, 0.395, 0.105, 0.3635, 0.136, 0.098, 0.13, 9
2, 0.435, 0.32, 0.12, 0.3785, 0.152, 0.0915, 0.125, 11
2, 0.585, 0.435, 0.14, 0.6955, 0.3085, 0.129, 0.2245, 8
2, 0.55, 0.405, 0.125, 0.651, 0.2965, 0.137, 0.2, 9
2, 0.445, 0.355, 0.15, 0.485, 0.181, 0.125, 0.155, 11
1, 0.6, 0.45, 0.195, 1.34, 0.617, 0.3255, 0.3605, 10
1, 0.35, 0.265, 0.09, 0.2265, 0.0995, 0.0575, 0.065, 6
3, 0.415, 0.315, 0.09, 0.3625, 0.175, 0.0835, 0.093, 6
3, 0.5, 0.385, 0.12, 0.56, 0.2835, 0.103, 0.135, 8
2, 0.445, 0.335, 0.14, 0.4565, 0.1785, 0.114, 0.14, 11
1, 0.68, 0.545, 0.185, 1.672, 0.7075, 0.364, 0.48, 11
2, 0.71, 0.555, 0.17, 1.47, 0.5375, 0.38, 0.431, 12
3, 0.19, 0.13, 0.03, 0.0295, 0.0155, 0.015, 0.01, 6
3, 0.215, 0.15, 0.055, 0.041, 0.015, 0.009, 0.0125, 3
1, 0.715, 0.525, 0.2, 1.89, 0.95, 0.436, 0.4305, 10
2, 0.62, 0.47, 0.225, 1.115, 0.378, 0.2145, 0.36, 15
3, 0.45, 0.345, 0.135, 0.443, 0.1975, 0.0875, 0.1175, 14
2, 0.575, 0.475, 0.16, 0.895, 0.3605, 0.221, 0.271, 9
1, 0.47, 0.375, 0.12, 0.5565, 0.226, 0.122, 0.195, 12
3, 0.52, 0.41, 0.11, 0.5185, 0.2165, 0.0915, 0.184, 8
1, 0.575, 0.445, 0.14, 0.737, 0.325, 0.1405, 0.237, 10
2, 0.5, 0.395, 0.14, 0.7155, 0.3165, 0.176, 0.24, 10
1, 0.63, 0.5, 0.185, 1.362, 0.5785, 0.3125, 0.384, 10
2, 0.59, 0.475, 0.16, 1.1015, 0.4775, 0.2555, 0.295, 13
2, 0.58, 0.45, 0.17, 0.9705, 0.4615, 0.232, 0.248, 9
3, 0.535, 0.41, 0.13, 0.6075, 0.268, 0.1225, 0.1975, 9
1, 0.62, 0.5, 0.2, 1.221, 0.4605, 0.263, 0.43, 12
2, 0.64, 0.5, 0.165, 1.1635, 0.554, 0.239, 0.32, 11
1, 0.565, 0.445, 0.14, 0.836, 0.406, 0.1605, 0.2245, 9
3, 0.5, 0.375, 0.12, 0.529, 0.2235, 0.123, 0.16, 8
2, 0.635, 0.525, 0.18, 1.3695, 0.634, 0.318, 0.363, 11
1, 0.625, 0.49, 0.165, 1.1835, 0.517, 0.2375, 0.39, 11
1, 0.655, 0.545, 0.19, 1.4245, 0.6325, 0.333, 0.378, 10
2, 0.575, 0.45, 0.12, 0.9585, 0.447, 0.169, 0.275, 12
1, 0.485, 0.39, 0.135, 0.617, 0.25, 0.1345, 0.1635, 8
1, 0.45, 0.355, 0.115, 0.479, 0.2125, 0.1045, 0.15, 8
1, 0.63, 0.505, 0.225, 1.525, 0.56, 0.3335, 0.45, 15
2, 0.625, 0.485, 0.15, 1.0945, 0.531, 0.261, 0.296, 10
2, 0.615, 0.475, 0.17, 1.1025, 0.4695, 0.2355, 0.345, 14
1, 0.59, 0.45, 0.12, 0.7485, 0.3345, 0.1315, 0.22, 14
2, 0.45, 0.36, 0.125, 0.4995, 0.2035, 0.1, 0.17, 13
3, 0.565, 0.46, 0.155, 0.8715, 0.3755, 0.215, 0.25, 10
2, 0.655, 0.52, 0.2, 1.5475, 0.713, 0.314, 0.466, 9
3, 0.35, 0.26, 0.085, 0.174, 0.0705, 0.0345, 0.06, 10
1, 0.64, 0.575, 0.175, 1.4585, 0.625, 0.266, 0.4395, 11
1, 0.67, 0.515, 0.165, 1.1735, 0.526, 0.285, 0.316, 11
2, 0.63, 0.5, 0.18, 1.1965, 0.514, 0.2325, 0.3995, 8
2, 0.575, 0.47, 0.155, 1.116, 0.509, 0.238, 0.34, 10
2, 0.525, 0.425, 0.14, 0.8735, 0.4205, 0.182, 0.2225, 10
1, 0.645, 0.5, 0.19, 1.5595, 0.741, 0.3715, 0.3845, 14
3, 0.44, 0.34, 0.12, 0.438, 0.2115, 0.083, 0.12, 9
1, 0.64, 0.495, 0.165, 1.307, 0.678, 0.292, 0.266, 11
3, 0.315, 0.24, 0.085, 0.1715, 0.071, 0.0345, 0.0535, 7
1, 0.625, 0.495, 0.155, 1.177, 0.5055, 0.278, 0.345, 9
1, 0.74, 0.58, 0.205, 2.381, 0.8155, 0.4695, 0.488, 12
3, 0.395, 0.3, 0.09, 0.253, 0.1155, 0.05, 0.075, 6
2, 0.425, 0.345, 0.11, 0.3665, 0.125, 0.081, 0.117, 11
2, 0.64, 0.505, 0.165, 1.2235, 0.5215, 0.2695, 0.36, 10
1, 0.645, 0.5, 0.195, 1.401, 0.6165, 0.3515, 0.3725, 10
3, 0.525, 0.375, 0.12, 0.6315, 0.3045, 0.114, 0.19, 9
3, 0.13, 0.1, 0.03, 0.013, 0.0045, 0.003, 0.004, 3
3, 0.525, 0.39, 0.105, 0.567, 0.2875, 0.1075, 0.16, 8
1, 0.6, 0.495, 0.175, 1.29, 0.606, 0.276, 0.3445, 11
2, 0.605, 0.45, 0.195, 1.098, 0.481, 0.2895, 0.315, 13
1, 0.59, 0.5, 0.2, 1.187, 0.412, 0.2705, 0.37, 16
3, 0.51, 0.385, 0.15, 0.625, 0.3095, 0.119, 0.1725, 8
2, 0.66, 0.505, 0.19, 1.4045, 0.6255, 0.3375, 0.3745, 9
3, 0.595, 0.43, 0.165, 0.9845, 0.4525, 0.207, 0.2725, 8
1, 0.61, 0.475, 0.15, 1.142, 0.62, 0.237, 0.245, 9
3, 0.315, 0.23, 0.07, 0.164, 0.0625, 0.04, 0.045, 6
2, 0.555, 0.43, 0.14, 0.7545, 0.3525, 0.1835, 0.2015, 9
3, 0.37, 0.29, 0.095, 0.249, 0.1045, 0.058, 0.067, 6
3, 0.44, 0.34, 0.12, 0.4995, 0.2965, 0.0945, 0.1185, 6
3, 0.465, 0.37, 0.115, 0.534, 0.261, 0.098, 0.143, 7
3, 0.63, 0.505, 0.18, 1.272, 0.6025, 0.295, 0.315, 11
1, 0.695, 0.57, 0.2, 2.033, 0.751, 0.4255, 0.685, 15
3, 0.345, 0.27, 0.11, 0.2135, 0.082, 0.0545, 0.07, 7
2, 0.7, 0.585, 0.185, 1.8075, 0.7055, 0.3215, 0.475, 29
1, 0.635, 0.515, 0.16, 1.2075, 0.5385, 0.282, 0.345, 11
2, 0.345, 0.26, 0.09, 0.207, 0.0775, 0.0435, 0.0765, 10
1, 0.505, 0.385, 0.11, 0.655, 0.3185, 0.15, 0.185, 9
1, 0.64, 0.525, 0.18, 1.3135, 0.4865, 0.2995, 0.4075, 10
1, 0.65, 0.495, 0.16, 1.304, 0.57, 0.312, 0.3725, 9
2, 0.565, 0.4, 0.13, 0.6975, 0.3075, 0.1665, 0.18, 8
1, 0.62, 0.45, 0.2, 0.858, 0.4285, 0.1525, 0.2405, 8
1, 0.615, 0.475, 0.19, 1.4335, 0.7315, 0.305, 0.3285, 9
2, 0.595, 0.43, 0.21, 1.5245, 0.653, 0.396, 0.41, 11
3, 0.59, 0.46, 0.145, 0.9015, 0.419, 0.1785, 0.26, 11
3, 0.43, 0.34, 0, 0.428, 0.2065, 0.086, 0.115, 8
2, 0.605, 0.475, 0.145, 1.0185, 0.4695, 0.225, 0.27, 15
3, 0.56, 0.445, 0.165, 0.832, 0.3455, 0.179, 0.279, 9
2, 0.545, 0.405, 0.175, 0.98, 0.2585, 0.207, 0.38, 18
2, 0.465, 0.355, 0.115, 0.4705, 0.1955, 0.118, 0.126, 7
1, 0.63, 0.505, 0.17, 1.0915, 0.4615, 0.266, 0.3, 9
2, 0.675, 0.54, 0.21, 1.593, 0.686, 0.318, 0.45, 11
2, 0.475, 0.4, 0.115, 0.541, 0.186, 0.1025, 0.21, 13
1, 0.615, 0.495, 0.2, 1.304, 0.5795, 0.3115, 0.371, 14
1, 0.64, 0.485, 0.16, 1.006, 0.456, 0.2245, 0.2835, 9
1, 0.625, 0.495, 0.155, 1.0485, 0.487, 0.212, 0.3215, 11
2, 0.56, 0.42, 0.18, 1.6645, 0.7755, 0.35, 0.4525, 9
1, 0.485, 0.4, 0.135, 0.663, 0.313, 0.137, 0.2, 10
2, 0.45, 0.345, 0.12, 0.4165, 0.1655, 0.095, 0.135, 9
3, 0.525, 0.39, 0.12, 0.664, 0.3115, 0.147, 0.178, 9
1, 0.585, 0.45, 0.18, 0.7995, 0.336, 0.1855, 0.237, 8
1, 0.48, 0.385, 0.145, 0.64, 0.2925, 0.1405, 0.1575, 6
1, 0.59, 0.5, 0.165, 1.1045, 0.4565, 0.2425, 0.34, 15
2, 0.505, 0.39, 0.12, 0.5725, 0.2555, 0.1325, 0.146, 8
1, 0.5, 0.38, 0.135, 0.5835, 0.2295, 0.1265, 0.18, 12
3, 0.325, 0.25, 0.07, 0.1745, 0.0875, 0.0355, 0.04, 7
3, 0.525, 0.4, 0.13, 0.6455, 0.325, 0.1245, 0.17, 8
2, 0.615, 0.5, 0.165, 1.1765, 0.488, 0.244, 0.345, 17
1, 0.165, 0.125, 0.04, 0.0245, 0.0095, 0.0045, 0.008, 4
3, 0.42, 0.305, 0.1, 0.3415, 0.1645, 0.0775, 0.086, 7
1, 0.7, 0.545, 0.185, 1.6135, 0.75, 0.4035, 0.3685, 11
3, 0.485, 0.375, 0.13, 0.6025, 0.2935, 0.1285, 0.16, 7
3, 0.475, 0.365, 0.105, 0.4175, 0.1645, 0.099, 0.127, 7
2, 0.63, 0.475, 0.15, 1.072, 0.433, 0.2975, 0.315, 8
1, 0.62, 0.485, 0.205, 1.219, 0.3875, 0.2505, 0.385, 14
3, 0.435, 0.33, 0.125, 0.406, 0.1685, 0.1055, 0.096, 12
2, 0.55, 0.445, 0.155, 0.9905, 0.544, 0.178, 0.218, 9
2, 0.465, 0.375, 0.135, 0.6, 0.2225, 0.129, 0.23, 16
1, 0.35, 0.255, 0.085, 0.2145, 0.1, 0.0465, 0.06, 13
1, 0.35, 0.265, 0.09, 0.1775, 0.0575, 0.042, 0.068, 12
3, 0.58, 0.445, 0.17, 1.178, 0.3935, 0.2165, 0.315, 20
2, 0.45, 0.36, 0.11, 0.447, 0.203, 0.082, 0.13, 12
3, 0.47, 0.355, 0.18, 0.48, 0.2055, 0.105, 0.1505, 8
3, 0.525, 0.405, 0.15, 0.795, 0.3075, 0.205, 0.255, 14
1, 0.55, 0.45, 0.15, 1.0145, 0.407, 0.2015, 0.2875, 10
1, 0.63, 0.49, 0.155, 1.2525, 0.63, 0.246, 0.289, 9
2, 0.485, 0.4, 0.155, 0.731, 0.236, 0.183, 0.255, 11
2, 0.64, 0.5, 0.175, 1.394, 0.4935, 0.291, 0.4, 10
3, 0.515, 0.4, 0.125, 0.5625, 0.25, 0.1245, 0.17, 7
2, 0.655, 0.5, 0.14, 1.1705, 0.5405, 0.3175, 0.285, 12
1, 0.64, 0.525, 0.185, 1.707, 0.763, 0.4205, 0.4435, 11
2, 0.605, 0.465, 0.155, 1.1, 0.547, 0.2665, 0.2585, 10
2, 0.52, 0.395, 0.18, 0.64, 0.158, 0.11, 0.245, 22
1, 0.375, 0.305, 0.09, 0.3245, 0.1395, 0.0565, 0.095, 5
3, 0.44, 0.34, 0.1, 0.407, 0.209, 0.0735, 0.103, 7
3, 0.425, 0.38, 0.105, 0.3265, 0.1285, 0.0785, 0.1, 10
2, 0.62, 0.48, 0.175, 1.0405, 0.464, 0.2225, 0.3, 9
2, 0.56, 0.445, 0.18, 0.903, 0.3575, 0.2045, 0.295, 9
2, 0.665, 0.505, 0.165, 1.349, 0.5985, 0.3175, 0.36, 9
1, 0.44, 0.325, 0.115, 0.39, 0.163, 0.087, 0.113, 7
1, 0.505, 0.385, 0.13, 0.6435, 0.3135, 0.149, 0.1515, 7
3, 0.365, 0.295, 0.095, 0.25, 0.1075, 0.0545, 0.08, 9
1, 0.575, 0.45, 0.155, 0.886, 0.3605, 0.211, 0.2575, 9
2, 0.73, 0.56, 0.19, 1.9425, 0.799, 0.5195, 0.5655, 11
3, 0.465, 0.34, 0.11, 0.346, 0.1425, 0.073, 0.113, 11
1, 0.465, 0.355, 0.125, 0.5255, 0.2025, 0.135, 0.145, 13
1, 0.66, 0.485, 0.155, 1.2275, 0.61, 0.274, 0.3, 8
1, 0.43, 0.35, 0.11, 0.406, 0.1675, 0.081, 0.135, 10
1, 0.52, 0.41, 0.115, 0.77, 0.263, 0.157, 0.26, 11
2, 0.535, 0.425, 0.155, 0.7765, 0.302, 0.1565, 0.25, 16
1, 0.67, 0.55, 0.17, 1.247, 0.472, 0.2455, 0.4, 21
2, 0.575, 0.46, 0.145, 0.9945, 0.466, 0.229, 0.265, 7
1, 0.49, 0.395, 0.135, 0.5545, 0.213, 0.0925, 0.215, 14
1, 0.455, 0.34, 0.135, 0.462, 0.1675, 0.158, 0.12, 9
3, 0.335, 0.26, 0.09, 0.1965, 0.0875, 0.041, 0.056, 7
1, 0.67, 0.54, 0.195, 1.217, 0.532, 0.2735, 0.3315, 11
1, 0.54, 0.455, 0.14, 0.972, 0.419, 0.255, 0.269, 10
2, 0.44, 0.355, 0.115, 0.415, 0.1585, 0.0925, 0.131, 11
3, 0.4, 0.29, 0.1, 0.2675, 0.1205, 0.0605, 0.0765, 5
1, 0.475, 0.355, 0.12, 0.48, 0.234, 0.1015, 0.135, 8
1, 0.55, 0.45, 0.13, 0.92, 0.378, 0.2385, 0.29, 11
2, 0.47, 0.355, 0.14, 0.433, 0.1525, 0.095, 0.152, 12
3, 0.425, 0.31, 0.095, 0.3505, 0.1645, 0.071, 0.1, 8
3, 0.55, 0.425, 0.155, 0.8725, 0.412, 0.187, 0.2425, 10
3, 0.265, 0.21, 0.06, 0.0965, 0.0425, 0.022, 0.03, 5
3, 0.35, 0.25, 0.1, 0.4015, 0.1725, 0.063, 0.1255, 7
1, 0.575, 0.47, 0.14, 0.8375, 0.3485, 0.1735, 0.24, 11
1, 0.7, 0.53, 0.19, 1.3185, 0.548, 0.233, 0.42, 18
1, 0.245, 0.18, 0.065, 0.0635, 0.0245, 0.0135, 0.02, 4
1, 0.64, 0.505, 0.165, 1.4435, 0.6145, 0.3035, 0.39, 18
1, 0.65, 0.515, 0.185, 1.3745, 0.75, 0.1805, 0.369, 12
2, 0.58, 0.45, 0.185, 0.9955, 0.3945, 0.272, 0.285, 11
2, 0.645, 0.5, 0.17, 1.1845, 0.4805, 0.274, 0.355, 13
1, 0.67, 0.545, 0.2, 1.7025, 0.833, 0.374, 0.41, 11
1, 0.605, 0.47, 0.115, 1.114, 0.3925, 0.291, 0.31, 15
1, 0.595, 0.475, 0.14, 1.0305, 0.4925, 0.217, 0.278, 10
2, 0.55, 0.38, 0.165, 1.205, 0.543, 0.294, 0.3345, 10
1, 0.58, 0.455, 0.15, 1.114, 0.4765, 0.2155, 0.265, 8
2, 0.585, 0.485, 0.15, 1.079, 0.4145, 0.2115, 0.356, 11
2, 0.73, 0.575, 0.185, 1.8795, 0.931, 0.38, 0.4825, 12
1, 0.66, 0.495, 0.195, 1.6275, 0.594, 0.3595, 0.485, 10
3, 0.355, 0.28, 0.11, 0.2235, 0.0815, 0.0525, 0.08, 7
2, 0.595, 0.465, 0.15, 1.0765, 0.491, 0.22, 0.287, 9
3, 0.425, 0.315, 0.095, 0.3675, 0.1865, 0.0675, 0.0985, 7
1, 0.58, 0.455, 0.15, 1.012, 0.4985, 0.2115, 0.2835, 10
3, 0.56, 0.42, 0.14, 0.837, 0.414, 0.214, 0.2, 8
1, 0.505, 0.395, 0.125, 0.635, 0.29, 0.1555, 0.175, 9
2, 0.505, 0.39, 0.125, 0.5445, 0.246, 0.15, 0.1405, 7
1, 0.525, 0.42, 0.155, 0.842, 0.428, 0.1415, 0.2045, 9
3, 0.53, 0.4, 0.125, 0.617, 0.279, 0.127, 0.19, 8
3, 0.16, 0.11, 0.025, 0.0195, 0.0075, 0.005, 0.006, 4
1, 0.72, 0.6, 0.235, 2.2385, 0.984, 0.411, 0.621, 12
2, 0.63, 0.48, 0.175, 1.3675, 0.5015, 0.3035, 0.515, 17
3, 0.525, 0.4, 0.125, 0.5655, 0.2435, 0.119, 0.175, 8
3, 0.565, 0.43, 0.125, 0.6545, 0.2815, 0.139, 0.21, 9
3, 0.575, 0.44, 0.125, 0.8515, 0.4555, 0.1715, 0.1965, 9
2, 0.59, 0.455, 0.145, 1.063, 0.5155, 0.2445, 0.25, 8
1, 0.575, 0.45, 0.16, 0.955, 0.44, 0.1685, 0.27, 16
2, 0.705, 0.56, 0.205, 2.381, 0.9915, 0.5005, 0.624, 10
3, 0.475, 0.355, 0.1, 0.5035, 0.2535, 0.091, 0.14, 8
2, 0.57, 0.45, 0.17, 1.098, 0.414, 0.187, 0.405, 20
3, 0.435, 0.34, 0.115, 0.3925, 0.1825, 0.078, 0.1145, 6
2, 0.59, 0.465, 0.15, 1.151, 0.613, 0.239, 0.2515, 9
3, 0.355, 0.27, 0.075, 0.204, 0.3045, 0.046, 0.0595, 7
2, 0.69, 0.55, 0.2, 1.569, 0.687, 0.3675, 0.46, 12
2, 0.575, 0.42, 0.19, 1.764, 0.914, 0.377, 0.4095, 10
3, 0.315, 0.23, 0.07, 0.1145, 0.046, 0.0235, 0.0385, 5
3, 0.52, 0.41, 0.14, 0.699, 0.3395, 0.129, 0.1945, 10
1, 0.295, 0.225, 0.09, 0.1385, 0.048, 0.046, 0.05, 9
2, 0.305, 0.23, 0.08, 0.156, 0.0675, 0.0345, 0.048, 7
3, 0.43, 0.315, 0.095, 0.378, 0.175, 0.08, 0.1045, 8
2, 0.75, 0.55, 0.195, 1.8325, 0.83, 0.366, 0.44, 11
3, 0.64, 0.49, 0.135, 1.1, 0.488, 0.2505, 0.2925, 10
3, 0.435, 0.345, 0.12, 0.3215, 0.13, 0.056, 0.1185, 7
3, 0.38, 0.3, 0.09, 0.277, 0.1655, 0.0625, 0.082, 6
3, 0.545, 0.375, 0.12, 0.543, 0.2375, 0.1155, 0.1725, 8
2, 0.52, 0.425, 0.15, 0.813, 0.385, 0.2015, 0.23, 10
1, 0.555, 0.45, 0.175, 0.874, 0.3275, 0.202, 0.305, 10
3, 0.24, 0.185, 0.06, 0.0655, 0.0295, 0.0005, 0.02, 4
3, 0.205, 0.14, 0.05, 0.046, 0.0165, 0.012, 0.0135, 6
3, 0.33, 0.245, 0.065, 0.1445, 0.058, 0.032, 0.0505, 6
2, 0.525, 0.41, 0.135, 0.7085, 0.293, 0.1525, 0.235, 11
3, 0.435, 0.325, 0.1, 0.342, 0.1335, 0.0835, 0.105, 6
2, 0.64, 0.505, 0.19, 1.2355, 0.4435, 0.3105, 0.365, 14
2, 0.565, 0.445, 0.125, 0.8305, 0.3135, 0.1785, 0.23, 11
2, 0.59, 0.455, 0.175, 0.966, 0.391, 0.2455, 0.31, 10
1, 0.555, 0.44, 0.135, 0.9025, 0.3805, 0.2105, 0.28, 13
1, 0.58, 0.49, 0.13, 1.1335, 0.586, 0.2565, 0.237, 9
2, 0.415, 0.325, 0.115, 0.3455, 0.1405, 0.0765, 0.11, 9
1, 0.565, 0.43, 0.15, 0.831, 0.4245, 0.1735, 0.219, 10
1, 0.465, 0.36, 0.08, 0.488, 0.191, 0.125, 0.155, 11
2, 0.485, 0.375, 0.145, 0.5885, 0.2385, 0.1155, 0.19, 13
