@relation abalone
@attribute Sex integer [1, 3]
@attribute Length real [0.075, 0.815]
@attribute Diameter real [0.055, 0.65]
@attribute Height real [0.0, 1.13]
@attribute Whole_weight real [0.0020, 2.8255]
@attribute Shucked_weight real [0.0010, 1.488]
@attribute Viscera_weight real [5.0E-4, 0.76]
@attribute Shell_weight real [0.0015, 1.005]
@attribute Rings integer [1, 29]
@inputs Sex, Length, Diameter, Height, Whole_weight, Shucked_weight, Viscera_weight, Shell_weight
@outputs Rings
@data
1, 0.52, 0.385, 0.14, 0.6595, 0.2485, 0.2035, 0.16, 9
1, 0.65, 0.525, 0.19, 1.4995, 0.6265, 0.4005, 0.395, 14
1, 0.485, 0.385, 0.105, 0.556, 0.296, 0.104, 0.133, 7
1, 0.46, 0.375, 0.13, 0.5735, 0.2505, 0.119, 0.195, 9
2, 0.535, 0.41, 0.13, 0.7145, 0.335, 0.144, 0.2075, 9
2, 0.685, 0.545, 0.18, 1.768, 0.7495, 0.392, 0.485, 16
2, 0.72, 0.55, 0.18, 1.52, 0.637, 0.325, 0.435, 10
3, 0.43, 0.32, 0.1, 0.3855, 0.192, 0.0745, 0.1, 7
1, 0.565, 0.455, 0.15, 0.9595, 0.4565, 0.2395, 0.23, 9
2, 0.595, 0.48, 0.16, 1.2095, 0.5225, 0.296, 0.32, 8
3, 0.425, 0.34, 0.1, 0.3515, 0.1625, 0.082, 0.094, 7
3, 0.305, 0.23, 0.075, 0.1455, 0.0595, 0.0305, 0.05, 6
3, 0.56, 0.435, 0.13, 0.777, 0.354, 0.173, 0.222, 9
2, 0.6, 0.475, 0.135, 1.4405, 0.5885, 0.191, 0.3175, 9
2, 0.575, 0.46, 0.165, 1.124, 0.2985, 0.1785, 0.44, 13
1, 0.38, 0.29, 0.12, 0.283, 0.1175, 0.0655, 0.085, 9
2, 0.67, 0.54, 0.195, 1.619, 0.74, 0.3305, 0.465, 11
1, 0.5, 0.4, 0.13, 0.6645, 0.258, 0.133, 0.24, 12
3, 0.395, 0.3, 0.12, 0.2995, 0.1265, 0.068, 0.0895, 8
1, 0.555, 0.405, 0.19, 1.406, 0.6115, 0.342, 0.389, 10
2, 0.57, 0.45, 0.165, 0.903, 0.3305, 0.1845, 0.295, 14
1, 0.63, 0.51, 0.19, 1.4985, 0.4125, 0.3075, 0.545, 16
3, 0.455, 0.355, 0.105, 0.372, 0.138, 0.0765, 0.135, 9
1, 0.61, 0.48, 0.165, 1.2435, 0.5575, 0.2675, 0.372, 8
1, 0.35, 0.255, 0.08, 0.1915, 0.08, 0.0385, 0.063, 9
3, 0.605, 0.495, 0.145, 1.054, 0.369, 0.2255, 0.36, 12
1, 0.6, 0.41, 0.145, 0.939, 0.4475, 0.196, 0.268, 8
1, 0.495, 0.375, 0.115, 0.6245, 0.282, 0.143, 0.155, 6
2, 0.675, 0.51, 0.185, 1.473, 0.6295, 0.3025, 0.4245, 11
3, 0.24, 0.18, 0.055, 0.0555, 0.0235, 0.013, 0.018, 4
1, 0.75, 0.555, 0.215, 2.201, 1.0615, 0.5235, 0.5285, 11
1, 0.62, 0.46, 0.17, 1.127, 0.535, 0.2635, 0.296, 7
2, 0.56, 0.465, 0.16, 1.0315, 0.432, 0.2025, 0.337, 9
1, 0.7, 0.54, 0.205, 1.74, 0.7885, 0.373, 0.4865, 13
1, 0.615, 0.46, 0.17, 1.0565, 0.4815, 0.272, 0.27, 10
2, 0.61, 0.47, 0.145, 1.153, 0.403, 0.296, 0.32, 14
3, 0.65, 0.52, 0.15, 1.238, 0.5495, 0.296, 0.3305, 10
2, 0.68, 0.505, 0.17, 1.3435, 0.657, 0.297, 0.355, 12
2, 0.6, 0.48, 0.18, 1.0645, 0.4495, 0.2455, 0.325, 10
1, 0.645, 0.51, 0.19, 1.4745, 0.605, 0.345, 0.48, 9
3, 0.54, 0.425, 0.14, 0.742, 0.32, 0.1395, 0.25, 9
2, 0.45, 0.365, 0.115, 0.5885, 0.318, 0.121, 0.1325, 8
2, 0.515, 0.415, 0.13, 0.764, 0.276, 0.196, 0.25, 13
3, 0.515, 0.39, 0.125, 0.5705, 0.238, 0.1265, 0.185, 8
2, 0.69, 0.555, 0.205, 1.8165, 0.7785, 0.4395, 0.515, 19
3, 0.585, 0.47, 0.17, 0.985, 0.3695, 0.2395, 0.315, 10
2, 0.45, 0.36, 0.125, 0.5065, 0.222, 0.105, 0.16, 10
3, 0.295, 0.215, 0.07, 0.121, 0.047, 0.0155, 0.0405, 6
1, 0.47, 0.38, 0.145, 0.5865, 0.2385, 0.144, 0.185, 8
2, 0.55, 0.43, 0.14, 0.7135, 0.2565, 0.186, 0.225, 9
2, 0.565, 0.45, 0.145, 0.8495, 0.4215, 0.1685, 0.225, 8
2, 0.56, 0.44, 0.155, 0.6405, 0.336, 0.1765, 0.245, 8
3, 0.4, 0.3, 0.09, 0.2815, 0.1185, 0.061, 0.08, 7
3, 0.59, 0.46, 0.125, 0.755, 0.334, 0.15, 0.238, 9
1, 0.515, 0.39, 0.14, 0.678, 0.341, 0.1325, 0.119, 8
1, 0.58, 0.465, 0.145, 0.887, 0.4405, 0.1655, 0.265, 11
1, 0.5, 0.375, 0.145, 0.6215, 0.274, 0.166, 0.1485, 7
1, 0.555, 0.41, 0.125, 0.599, 0.2345, 0.1465, 0.194, 8
1, 0.55, 0.42, 0.16, 1.3405, 0.6325, 0.311, 0.344, 10
2, 0.63, 0.495, 0.145, 1.147, 0.5455, 0.266, 0.2885, 9
3, 0.535, 0.39, 0.125, 0.599, 0.2595, 0.149, 0.169, 9
2, 0.55, 0.44, 0.155, 0.946, 0.313, 0.1825, 0.335, 16
2, 0.55, 0.425, 0.135, 0.8515, 0.362, 0.196, 0.27, 14
2, 0.605, 0.485, 0.16, 1.0565, 0.37, 0.2355, 0.355, 10
1, 0.355, 0.28, 0.095, 0.2455, 0.0955, 0.062, 0.075, 11
1, 0.57, 0.44, 0.155, 1.116, 0.4775, 0.2315, 0.27, 13
1, 0.645, 0.51, 0.195, 1.226, 0.5885, 0.2215, 0.3745, 10
3, 0.47, 0.355, 0.115, 0.4155, 0.167, 0.084, 0.139, 7
2, 0.565, 0.49, 0.155, 0.9245, 0.405, 0.2195, 0.255, 11
3, 0.495, 0.375, 0.14, 0.494, 0.181, 0.0975, 0.191, 8
3, 0.45, 0.355, 0.115, 0.4385, 0.184, 0.108, 0.1125, 11
1, 0.37, 0.28, 0.095, 0.2225, 0.0805, 0.051, 0.075, 7
